Date_UTC,MLT,MLAT,GLON,GLAT
2000-02-14 10:53:00,22.71,70.28,203.38,71.32
2000-02-14 11:21:00,0.06,65.29,212.14,64.87
2000-02-14 12:07:00,3.64,62.09,246.65,54.62
2000-02-14 12:28:00,1.23,65.29,212.14,64.87
2000-02-14 12:52:00,4.55,64.53,248.79,56.66
2000-02-14 13:50:00,19.43,68.69,80.70,73.53
2000-02-14 16:28:00,10.45,76.58,273.77,66.52
2000-02-14 17:12:00,5.50,66.68,208.45,66.90
2000-02-14 17:38:00,19.83,71.50,19.20,74.50
2000-02-14 22:21:00,6.63,70.28,137.71,75.94
2000-02-14 23:26:00,0.78,65.26,13.54,68.13
2000-02-15 01:17:00,23.74,69.15,322.37,65.60
2000-02-15 01:46:00,3.71,67.30,22.22,70.54
2000-02-15 04:24:00,19.74,67.67,248.07,60.03
2000-02-15 05:02:00,22.16,66.77,265.36,56.38
2000-02-15 09:23:00,21.18,70.28,203.38,71.32
2000-02-15 18:04:00,5.78,70.28,203.38,71.32
2000-02-15 18:39:00,0.01,68.69,80.70,73.53
2000-02-15 19:00:00,0.35,68.69,80.70,73.53
2000-02-15 22:08:00,0.02,64.62,23.53,68.02
2000-02-16 04:45:00,21.89,69.07,265.91,58.76
2000-02-16 17:52:00,20.06,71.50,19.20,74.50
2000-02-17 08:57:00,23.52,67.50,238.77,61.76
2000-02-17 13:36:00,22.94,65.13,147.89,70.62
2000-02-17 19:39:00,21.66,67.30,22.22,70.54
2000-02-18 04:37:00,21.72,71.26,265.95,61.11
2000-02-19 10:13:00,23.25,66.46,218.84,64.78
2000-02-20 06:45:00,22.19,67.67,248.07,60.03
2000-02-21 01:07:00,0.46,64.86,338.30,64.18
2000-02-21 02:23:00,1.79,64.86,338.30,64.18
2000-02-21 02:44:00,2.17,64.86,338.30,64.18
2000-02-21 06:09:00,6.78,70.22,351.30,70.90
2000-02-21 07:05:00,22.53,67.67,248.07,60.03
2000-02-21 14:15:00,12.13,79.43,303.85,72.78
2000-02-21 14:45:00,3.85,66.46,218.84,64.78
2000-02-21 15:09:00,3.52,66.68,208.45,66.90
2000-02-21 16:10:00,3.02,64.98,180.63,68.88
2000-02-21 16:34:00,5.19,65.29,212.14,64.87
2000-02-23 12:59:00,6.26,69.07,265.91,58.76
2000-02-23 13:38:00,12.86,76.28,321.65,72.60
2000-02-23 14:00:00,2.42,66.68,208.45,66.90
2000-02-23 16:35:00,9.90,72.99,267.89,62.82
2000-02-24 04:06:00,23.04,65.81,282.26,55.28
2000-02-24 04:30:00,23.44,65.81,282.26,55.28
2000-02-24 05:16:00,2.92,67.81,310.32,62.00
2000-02-24 07:05:00,22.69,64.53,248.79,56.66
2000-02-24 07:55:00,22.52,67.50,238.77,61.76
2000-02-24 08:22:00,23.96,64.53,248.79,56.66
2000-02-24 09:30:00,7.44,66.08,314.56,61.16
2000-02-24 11:10:00,2.75,64.53,248.79,56.66
2000-02-24 11:39:00,0.62,63.30,214.87,62.39
2000-02-24 12:46:00,1.19,66.68,208.45,66.90
2000-02-24 13:58:00,2.95,63.30,214.87,62.39
2000-02-24 15:00:00,4.06,66.46,218.84,64.78
2000-02-24 16:11:00,7.23,69.52,245.52,62.48
2000-02-24 17:04:00,19.30,71.50,19.20,74.50
2000-02-24 17:27:00,19.68,71.50,19.20,74.50
2000-02-24 20:12:00,22.26,66.11,23.70,69.46
2000-02-24 20:41:00,22.85,71.50,19.20,74.50
2000-02-24 21:46:00,3.11,68.70,80.70,73.53
2000-02-24 23:23:00,1.29,63.42,24.08,66.90
2000-02-25 00:28:00,2.45,66.11,23.70,69.46
2000-02-25 01:06:00,2.91,65.83,20.77,69.06
2000-02-25 03:09:00,2.62,64.86,338.30,64.18
2000-02-25 03:29:00,22.41,65.81,282.26,55.28
2000-02-25 06:26:00,4.41,66.08,314.56,61.16
2000-02-25 06:47:00,7.44,70.22,351.30,70.90
2000-02-25 07:07:00,2.15,65.81,282.26,55.28
2000-02-25 07:30:00,0.72,66.76,265.36,56.38
2000-02-25 10:16:00,22.91,65.29,212.14,64.87
